Baseline 100%T,,UV_511359d7-df0d-4018-bfee-ff58585b5809,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
517.0145874,0.5166130662,517.0145874,-0.0437211208,
516.4840698,0.5099548697,516.4840698,-0.04168929532,
515.991333,0.505255878,515.991333,-0.04372093454,
515.4985962,0.50234586,515.4985962,-0.0494220145,
515.0057983,0.5027769804,515.0057983,-0.04746111855,
514.5129395,0.5004764199,514.5129395,-0.04074515775,
513.9821167,0.5022994876,513.9821167,-0.04134529829,
513.4891357,0.5003341436,513.4891357,-0.04539098218,
512.9960938,0.4980127215,512.9960938,-0.04272063449,
512.5029907,0.5000537634,512.5029907,-0.03424946964,
512.0098877,0.5018575788,512.0098877,-0.03638464585,
511.5167236,0.5093700886,511.5167236,-0.04001615942,
510.9855347,0.5054887533,510.9855347,-0.04842820019,
510.492218,0.5043157339,510.492218,-0.03850876167,
509.9989319,0.508317709,509.9989319,-0.03859744594,
509.5054932,0.5093129873,509.5054932,-0.04621599615,
509.0120544,0.5045098662,509.0120544,-0.04569464922,
508.5185852,0.5070483685,508.5185852,-0.03749001026,
507.9870911,0.5011442304,507.9870911,-0.03419559076,
507.4934692,0.5043617487,507.4934692,-0.03601454943,
506.9998474,0.5048809052,506.9998474,-0.04162377119,
506.506134,0.5111594796,506.506134,-0.04113003612,
506.0122986,0.5083004832,506.0122986,-0.04506843537,
505.5185852,0.5023157001,505.5185852,-0.04302950576,
504.9867249,0.5028296113,504.9867249,-0.03839826211,
504.4927979,0.5021480918,504.4927979,-0.03247218952,
503.9988403,0.4959132373,503.9988403,-0.03856826574,
503.5048218,0.5130695701,503.5048218,-0.042211283,
503.0107117,0.507117331,503.0107117,-0.04262631387,
502.5166321,0.5098475218,502.5166321,-0.03640845045,
501.984436,0.5074470639,501.984436,-0.03617353365,
501.4901733,0.5068548918,501.4901733,-0.03629231825,
500.9959106,0.499153018,500.9959106,-0.04169851169,
500.5015564,0.5018187761,500.5015564,-0.04375164211,
500.0072021,0.499458164,500.0072021,-0.04507062957,
499.5127258,0.5028397441,499.5127258,-0.04318974167,
499.0183105,0.5027460456,499.0183105,-0.04144098237,
498.4857178,0.4991796017,498.4857178,-0.0473857373,
497.9911194,0.499781698,497.9911194,-0.03869406879,
497.496521,0.4997825325,497.496521,-0.03663815185,
497.0018311,0.5039699674,497.0018311,-0.04279889539,
496.5070496,0.5124679804,496.5070496,-0.04055511206,
496.0122986,0.5103881359,496.0122986,-0.04396911711,
495.517395,0.5147957802,495.517395,-0.04669840261,
494.9844666,0.5106036067,494.9844666,-0.04190075025,
494.4895325,0.5010781884,494.4895325,-0.04177695513,
493.9945068,0.5042854548,493.9945068,-0.03931303322,
493.4994812,0.4966436327,493.4994812,-0.04299480841,
493.0043945,0.4928124249,493.0043945,-0.04079153761,
492.5092468,0.4893915653,492.5092468,-0.04500832036,
492.0140381,0.4746288657,492.0140381,-0.04191504046,
491.5187988,0.4878269732,491.5187988,-0.03999750689,
490.9854431,0.5200157762,490.9854431,-0.03570937365,
490.4900208,0.5365027189,490.4900208,-0.05336222425,
489.9946289,0.5221194625,489.9946289,-0.04398137331,
489.499176,0.5065456033,489.499176,-0.04863718897,
489.0036926,0.4958411455,489.0036926,-0.04025037587,
488.5081787,0.4937108159,488.5081787,-0.03877850249,
488.0125732,0.4900957048,488.0125732,-0.04111737013,
487.5168457,0.5065509677,487.5168457,-0.04154177383,
486.9830322,0.5186421871,486.9830322,-0.04387234896,
486.4873352,0.5250997543,486.4873352,-0.04122412205,
485.9915161,0.5200051665,485.9915161,-0.03641597554,
485.4956055,0.5102056265,485.4956055,-0.0372960642,
484.9997559,0.4897260368,484.9997559,-0.03806767613,
484.5037842,0.478497684,484.5037842,-0.03530576825,
484.007843,0.4899267852,484.007843,-0.037815433,
483.5117493,0.5170322657,483.5117493,-0.04150182381,
483.015625,0.5535068512,483.015625,-0.04642833024,
482.4813538,0.5453872085,482.4813538,-0.03885851428,
481.9851379,0.5361822248,481.9851379,-0.05273807794,
481.4888916,0.5290737748,481.4888916,-0.03718074039,
480.9925537,0.5212079287,480.9925537,-0.03671727329,
480.4962769,0.5219803452,480.4962769,-0.04061164707,
479.9998169,0.5120905042,479.9998169,-0.03969748318,
479.5033875,0.5059167743,479.5033875,-0.04448813945,
479.006897,0.5038257837,479.006897,-0.03623997793,
478.5103455,0.5065432787,478.5103455,-0.03537182137,
478.0137634,0.5061061382,478.0137634,-0.04268614575,
477.5171204,0.500561893,477.5171204,-0.03893733025,
476.9822083,0.5124908686,476.9822083,-0.04250328615,
476.4854431,0.5052548051,476.4854431,-0.0376701504,
475.9887085,0.5023970604,475.9887085,-0.04809293151,
475.4918213,0.5044271946,475.4918213,-0.0382095091,
474.9949341,0.5024045706,474.9949341,-0.04850196466,
474.4980774,0.5079026222,474.4980774,-0.03667302802,
474.0010376,0.5037735105,474.0010376,-0.04199748859,
473.5040588,0.5078652501,473.5040588,-0.04062701762,
473.006958,0.5070672035,473.006958,-0.0390994139,
472.5097656,0.5078585148,472.5097656,-0.04013989121,
472.0126648,0.5037564635,472.0126648,-0.03901608288,
471.5153809,0.5044181347,471.5153809,-0.04511692002,
471.0181274,0.5035960674,471.0181274,-0.03731050715,
470.4825134,0.5097252727,470.4825134,-0.03878579289,
469.985199,0.509811759,469.985199,-0.0396768339,
469.4877625,0.5118660927,469.4877625,-0.04050630331,
468.9903259,0.5085389614,468.9903259,-0.03416343406,
468.4927673,0.5092442036,468.4927673,-0.03684114292,
467.9952087,0.5081584454,467.9952087,-0.03732708842,
467.4976196,0.5079493523,467.4976196,-0.03809186444,
466.9999695,0.5056425929,466.9999695,-0.0440906994,
466.5021973,0.5097711086,466.5021973,-0.04495748878,
466.0045166,0.5138238072,466.0045166,-0.04816680029,
465.5066528,0.5103005767,465.5066528,-0.0441150181,
465.0088196,0.5057542324,465.0088196,-0.04286587983,
464.5109253,0.5076171756,464.5109253,-0.03621326014,
464.01297,0.5092228651,464.01297,-0.04251624271,
463.5149231,0.5101672411,463.5149231,-0.03837565333,
463.0169983,0.5139878988,463.0169983,-0.0432491228,
462.5188599,0.5075391531,462.5188599,-0.0377587229,
461.9823608,0.4989486635,461.9823608,-0.0350292325,
461.4842224,0.5078765154,461.4842224,-0.03957773745,
460.9859314,0.505651772,460.9859314,-0.04016934335,
460.4877014,0.5041355491,460.4877014,-0.04249995574,
459.9893799,0.50219208,459.9893799,-0.04811030999,
459.4909973,0.515175283,459.4909973,-0.04791052639,
458.9925537,0.5288589597,458.9925537,-0.04392677173,
458.4941406,0.5405463576,458.4941406,-0.04215594009,
457.9956055,0.5299425125,457.9956055,-0.03738623112,
457.4970703,0.523724556,457.4970703,-0.04539760575,
456.9984436,0.515953064,456.9984436,-0.04283830151,
456.4997864,0.5161160827,456.4997864,-0.0374937132,
456.0010986,0.5191496015,456.0010986,-0.03805069625,
455.5023804,0.5177414417,455.5023804,-0.04473224282,
455.0035095,0.5163034797,455.0035095,-0.03631012887,
454.5047607,0.5150367618,454.5047607,-0.03841878101,
454.0058289,0.5202069283,454.0058289,-0.03524075821,
453.5069275,0.5093670487,453.5069275,-0.03911602125,
453.0079651,0.5054074526,453.0079651,-0.0528447628,
452.5089417,0.5136172175,452.5089417,-0.04607545212,
452.0098267,0.5142018199,452.0098267,-0.0416004397,
451.5107727,0.5208094716,451.5107727,-0.03402869776,
451.0115662,0.5168326497,451.0115662,-0.03685859591,
450.5123901,0.5214303732,450.5123901,-0.03440723568,
450.013092,0.5170930624,450.013092,-0.03950376436,
449.5137939,0.5080247521,449.5137939,-0.04902198538,
449.0144958,0.5045499206,449.0144958,-0.04993996769,
448.5150757,0.5098421574,448.5150757,-0.03401965275,
448.015625,0.5130215883,448.015625,-0.04103032872,
447.5161438,0.5136178732,447.5161438,-0.04760353267,
447.0166016,0.511027813,447.0166016,-0.04700543359,
446.5170593,0.5172700882,446.5170593,-0.03682620823,
446.0174561,0.5175878406,446.0174561,-0.03738580272,
445.5177612,0.5270156264,445.5177612,-0.03838513419,
445.0180664,0.5274493098,445.0180664,-0.04097139463,
444.5183411,0.5273758173,444.5183411,-0.03513963893,
444.0184937,0.5271827579,444.0184937,-0.04022838548,
443.5186462,0.5248622298,443.5186462,-0.04341115057,
443.0187683,0.5259130597,443.0187683,-0.05663145706,
442.5188293,0.521023035,442.5188293,-0.04827840999,
442.0188599,0.5167452693,442.0188599,-0.0400342904,
441.5188599,0.5227047801,441.5188599,-0.0416162461,
441.0187988,0.5172982216,441.0187988,-0.04751843214,
440.5186462,0.5139011145,440.5186462,-0.03784105927,
440.0184937,0.5189279914,440.0184937,-0.04139377549,
439.5183105,0.5286569595,439.5183105,-0.04277834669,
439.0180359,0.5322862267,439.0180359,-0.04575042799,
438.5177612,0.5303704739,438.5177612,-0.04057986662,
438.0174255,0.5275497437,438.0174255,-0.03178339079,
437.5170593,0.5245295763,437.5170593,-0.03068229929,
437.0166321,0.5259757042,437.0166321,-0.03560841456,
436.5161133,0.5192071199,436.5161133,-0.04050719738,
436.0155945,0.523316741,436.0155945,-0.04081458226,
435.5150452,0.5202127099,435.5150452,-0.03523030132,
435.0143738,0.5207797289,435.0143738,-0.03837721795,
434.5137634,0.5212180018,434.5137634,-0.0342027694,
434.013092,0.5248075128,434.013092,-0.03561079875,
433.5123901,0.5243831277,433.5123901,-0.03908976167,
433.0115662,0.5285750031,433.0115662,-0.03869629651,
432.5107117,0.5296147466,432.5107117,-0.03828535974,
432.0098572,0.5371290445,432.0098572,-0.04317146167,
431.5089722,0.5264082551,431.5089722,-0.03747528791,
431.0079651,0.5296090841,431.0079651,-0.03333028406,
430.506958,0.5261173844,430.506958,-0.03157229349,
430.0058899,0.525934577,430.0058899,-0.04194827378,
429.5048523,0.5194585919,429.5048523,-0.0430762507,
429.0036926,0.5244656205,429.0036926,-0.04220982641,
428.5025635,0.5280611515,428.5025635,-0.0367311202,
428.0013123,0.5224272013,428.0013123,-0.03923939541,
427.5000305,0.5182641149,427.5000305,-0.0277030915,
426.9987183,0.521317184,426.9987183,-0.02978308126,
426.4973755,0.5185194612,426.4973755,-0.0401971899,
425.9960022,0.5159573555,425.9960022,-0.04038956016,
425.4945374,0.5189622641,425.4945374,-0.03382745385,
424.9930725,0.5298221111,424.9930725,-0.04264358431,
424.4915771,0.5317475796,424.4915771,-0.03751152381,
423.9899292,0.5279433727,423.9899292,-0.04088347778,
423.4883728,0.5300424099,423.4883728,-0.03491315991,
422.9866638,0.5356698632,422.9866638,-0.03779844567,
422.4849854,0.5318955183,422.4849854,-0.03961011022,
